Model,S/N,CPU,Ram,Storage,Defect
"NB Lenovo ThinkBook 14-IML","LR0DPPNQ","i5-10120U","Ram16GB","M.2 512GB",""
"NB Lenovo ThinkBook 14-IML","LR0DPPPX","","","",""
"NB Lenovo ThinkBook 14-IML","LR0DPPQF","","","",""
"NB Lenovo ThinkBook 14-IML","LR0DPPQ7","","","",""
"NB Lenovo ThinkBook 14-IML","LR0DPPPR","","","",""
"NB Lenovo E480","PF1DRLXS","i5-8250U","Ram8GB","M.2 250GB + HDD 1TB",""
"NB Lenovo E480","PF1NHD4L","i5-8250U","Ram8GB","M.2 250GB + HDD 1TB",""
"NB Lenovo E480","PF1E6A6K","i5-8250U","Ram8GB","M.2 250GB + HDD 1TB",""
"Microsoft Surface Pro 9 (i7)","0F00G8723203BF","i7-1265U/ Ram 16GB/ SSD 256GB/ 12.8"" [Keyboard]","","",""
"Microsoft Surface Pro 9 (i7)","0F01SM523203BF","i7-1265U/ Ram 16GB/ SSD 512GB/ 12.8"" [Keyboard]","","",""
"Microsoft Surface Pro 9 (i7)","0F00F8X23203BF","i7-1265U/ Ram 16GB/ SSD 512GB/ 12.8"" [Keyboard]","","",""
"Samsung Galaxy Tab S6","R52W80AQQTR","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52T8061X8J","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52W70D118X","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52W80AR4SK","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52T80622FB","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52W70D1BGM","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52T8061TYF","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52T8061PJB","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52W808H9BK","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52W80AR59F","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52T806233Z","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52T80620ZZ","Ram4GB Rom64GB","","",""
"Samsung Galaxy Tab S6","R52T8061WDL","","","",""
"Samsung Galaxy Tab S6","R52W80ARDHZ","","","",""
"Samsung Galaxy Tab S6","R52W80ARC7N","","","",""
"Samsung Galaxy Tab S6","R52T8061TER","","","",""
"Samsung Galaxy Tab S6","R52W70D1A5K","","","",""
"Samsung Galaxy Tab S6","R52W80AR3YP","","","",""
"Samsung Galaxy Tab S6","R52W3084K0T","","","",""
"Samsung Galaxy Tab S6","R52T8061RQB","","","",""
"Samsung Galaxy Tab S6","R52T8061Z7B","","","",""
"Samsung Galaxy Tab S6","R52W80AR33F","","","",""
"Samsung Galaxy Tab S6","R52T80622EE","","","",""
"Samsung Galaxy Tab S6","R52W80AQZ5X","","","",""
"Samsung Galaxy Tab S6","R52W70D18VY","","","",""
