No.,S/N,Spec,Quotation No.,Date Start ,Expire Date,Company,à¸à¸³à¸«à¸à¸´,à¸­à¹à¸²à¸à¸­à¸´à¸,,,85,,S/N,à¸£à¸²à¸à¸²à¸à¸²à¸¢, à¸§à¸±à¸à¸à¸µà¹ 
1,5CD11363C1,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,Home,,,,
2,5CD112GPN5,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,NB HP ProBook 440 G8,,,,
3,5CD112GPVR,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,i5-1135G7 Ram 16GB M.2 512GB,,,,
4,5CD112GQ50,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,i5-1135G7 Ram 16GB M.2 256GB,,,,
5,5CD112GPJY,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
6,5CD112GPG4,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
7,5CD112GPZF,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
8,5CD112GQC1,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
9,5CD112GPWP,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
10,5CD12961KX,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
11,5CD112GPZN,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
12,5CD112GQ5F,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
13,5CD112GQ4C,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
14,5CD112GPYW,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
15,5CD2157LVW,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
16,5CD112GQCP,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
17,5CD112GQ59,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
18,5CD2517LX9,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
19,5CD2157LWN,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
20,5CD2157LVK,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
21,5CD2157LW8,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
22,5CD2157LTZ,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
23,5CD2157LW5,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
24,5CD2157LWR,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
25,5CD2157LX2,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
26,5CD112GPMR,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
27,5CD2157LX0,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
28,5CD2157LXD,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
29,5CD2157LXL,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
30,5CD2157LW7,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
31,5CD2157LWK,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
32,5CD2157LX7,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
33,5CD2157LVT,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
34,5CD2157LW6,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
35,5CD2157LVM,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
36,5CD2157LXG,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
37,5CD2157LVQ,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
38,5CD112GPS6,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
39,5CD2157LV8,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
40,5CD2157LWD,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
41,5CD2157LV3,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
42,5CD2157LVH,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
43,5CD2157LV2,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
44,5CD2157LWT,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
45,5CD2157LVL,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
46,5CD11363D4,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
47,5CD2157LVJ,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
48,5CD2157LX8,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
49,5CD112GQ5G,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
50,5CD2157LXB,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
51,5CD2157LWF,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
52,5CD112GQ3G,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
53,5CD2157LW2,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
54,5CD112GPTD,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
55,5CD112GPJP,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
56,5CD112GQ3N,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
57,5CD2157LWC,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
58,5CD2157LWX,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
59,5CD2157LVB,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
60,5CD2157LVS,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
61,5CD2157LV7,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
62,5CD2157LXJ,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
63,5CD2157LXM,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
64,5CD2157LVD,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
65,5CD2157LW1,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
66,5CD2157LW9,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
67,5CD2157LVR,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
68,5CD2157LVN,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
69,5CD2157LX4,"i5-1135G7, Ram 16GB, M.2 256GB, 14""",,,,,,,,,,,,,
