No.,S/N,Spec,Quotation No.,Date Start , Expire Date ,Company,à¸à¸³à¸«à¸à¸´,à¸­à¹à¸²à¸à¸­à¸´à¸,,,46,,S/N, à¸£à¸²à¸à¸²à¸à¸²à¸¢ , à¸§à¸±à¸à¸à¸µà¹ 
1,2T1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,Home,,8S1FQG3,"  6,500 ",6/18/2026
2,9V1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,NB Dell Latitude 3420,,,,
3,DT1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,i7-1165G7 Ram 16Gb M.2 512GB,,,,
4,BV1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
5,CN1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
6,HS1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
7,8T1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
8,DS1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
9,3T1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
10,1W1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
11,HT1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
12,DV1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
13,4W1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
14,4V1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,B,,,,,,
15,6T1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
16,CV1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
17,7S1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
18,1T1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
19,1V1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
20,BS1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
21,8V1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
22,3W1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
23,7V1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,P,,,,,,
24,7T1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,P,,,,,,
25,FV1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
26,CT1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
27,2V1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
28,6V1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,A,,,,,,
29,2W1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,A,,,,,,
30,5S1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,A,,,,,,
31,1L1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
32,9S1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
33,6M1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,A,,,,,,
34,BM1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,P,,,,,,
35,4T1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
36,5V1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
37,2L1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
38,4S1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
39,GT1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,,,,,,,
40,GV1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,A,,,,,,
41,JV1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,Pp,,,,,,
42,6S1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,C,,,,,,
43,9T1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,A,,,,,,
44,FN1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,C,,,,,,
45,FS1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,Pp,,,,,,
46,CS1FQG3,"i7-1165G7, Ram 16GB, M.2 512GB, 14""",,,,,,,P,,,,,,
47,,,,,,,,,,,,,,,
