No.,S/N,Spec,Quotation No.,Date Start ,Expire Date,Company,à¸à¸³à¸«à¸à¸´,à¸­à¹à¸²à¸à¸­à¸´à¸,,,13,,S/N, à¸£à¸²à¸à¸²à¸à¸²à¸¢ , à¸§à¸±à¸à¸à¸µà¹ 
1,J99FGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0299-01,01/07/2026,30/06/2027,KIJTANANT,,,,,Home,,,,
2,HFBFGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0299-01,01/07/2026,30/06/2027,KIJTANANT,,,,,NB Dell Latitude 3520,,,,
3,1GBFGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0299-01,01/07/2026,30/06/2027,KIJTANANT,,,,, i5-1135G7 Ram 16GB M.2 512GB,,,,
4,F68JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0299-01,01/07/2026,30/06/2027,KIJTANANT,,,,,,,,,
5,658JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0299-01,01/07/2026,30/06/2027,KIJTANANT,,,,,,,,,
6,458JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0329-01,07/07/2026,06/07/2027,KIJTANANT,,,,,,,,,
7,589FGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0329-01,07/07/2026,06/07/2027,KIJTANANT,,,,,,,,,
8,868JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0329-01,07/07/2026,06/07/2027,KIJTANANT,,,,,,,,,
9,JGBFGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0329-01,07/07/2026,06/07/2027,KIJTANANT,,,,,,,,,
10,958JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",2606-0329-01,07/07/2026,06/07/2027,KIJTANANT,,,,,,,,,
11,368JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
12,B58JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
13,168JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
14,C58JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
15,D58JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
16,8HBFGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
17,J58JML3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
18,BFBFGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
19,6FBFGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
20,3HBFGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
21,5HBFGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
22,699FGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
23,HDBFGG3," i5-1135G7, Ram 16GB, M.2 512GB, 15.6""",,,,,,,,,,,,,
